Title,Votes,Answers,Views,Views_per_day,Date,Link 
How to use C++ in Go,208,12,148000,30,1257917113,https://stackoverflow.com/questions/1713214/how-to-use-c-in-go
slice of struct != slice of interface it implements?,85,6,45000,12,1350789970,https://stackoverflow.com/questions/12994679/slice-of-struct-slice-of-interface-it-implements
"How to use a module that is outside of ""GOPATH"" in another module?",40,2,30000,18,1536917288,https://stackoverflow.com/questions/52328952/how-to-use-a-module-that-is-outside-of-gopath-in-another-module
Creating a Constant Type and Restricting the Type's Values,38,2,29000,11,1463988598,https://stackoverflow.com/questions/37385007/creating-a-constant-type-and-restricting-the-types-values
Call functions with special prefix/suffix,18,2,4000,1,1463986817,https://stackoverflow.com/questions/37384473/call-functions-with-special-prefix-suffix
Explain Type Assertions in Go,53,3,23000,9,1470591687,https://stackoverflow.com/questions/38816843/explain-type-assertions-in-go
How to initialize a nested struct?,191,9,213000,68,1405615702,https://stackoverflow.com/questions/24809235/how-to-initialize-a-nested-struct
What does go build build? (go build vs. go install),157,2,109000,39,1433313562,https://stackoverflow.com/questions/30612611/what-does-go-build-build-go-build-vs-go-install
What's the best way to bundle static resources in a Go program?,133,5,53000,14,1355683952,https://stackoverflow.com/questions/13904441/whats-the-best-way-to-bundle-static-resources-in-a-go-program
How can I access a struct field with generics (type T has no field or method)?,9,1,4000,10,1639539844,https://stackoverflow.com/questions/70358216/how-can-i-access-a-struct-field-with-generics-type-t-has-no-field-or-method
Decoding generic JSON objects to one of many formats,5,1,7000,2,1421700776,https://stackoverflow.com/questions/28033277/decoding-generic-json-objects-to-one-of-many-formats
Cannot convert []string to []interface {},114,7,65000,17,1350749965,https://stackoverflow.com/questions/12990338/cannot-convert-string-to-interface
"Unmarshal JSON with some known, and some unknown field names",105,8,85000,32,1446210366,https://stackoverflow.com/questions/33436730/unmarshal-json-with-some-known-and-some-unknown-field-names
Return map like 'ok' in Golang on normal functions,35,2,16000,5,1423772506,https://stackoverflow.com/questions/28487036/return-map-like-ok-in-golang-on-normal-functions
Golang Round to Nearest 0.05,35,1,38000,16,1474100394,https://stackoverflow.com/questions/39544571/golang-round-to-nearest-0-05
How to iterate maps in insertion order?,23,2,19000,6,1425840297,https://stackoverflow.com/questions/28930416/how-to-iterate-maps-in-insertion-order
how to reference a relative file from code and tests,19,3,7000,2,1435260115,https://stackoverflow.com/questions/31059023/how-to-reference-a-relative-file-from-code-and-tests
Is it safe to read a function pointer concurrently without a lock?,12,3,4000,1,1483170572,https://stackoverflow.com/questions/41406501/is-it-safe-to-read-a-function-pointer-concurrently-without-a-lock
"It takes too much time when using ""template"" package to generate a dynamic web page to client in Golang",8,1,3000,1,1423649702,https://stackoverflow.com/questions/28451675/it-takes-too-much-time-when-using-template-package-to-generate-a-dynamic-web-p
What is an idiomatic way of representing enums in Go?,728,14,490000,134,1358698042,https://stackoverflow.com/questions/14426366/what-is-an-idiomatic-way-of-representing-enums-in-go
Reading a file line by line in Go,513,13,508000,126,1325850624,https://stackoverflow.com/questions/8757389/reading-a-file-line-by-line-in-go
"How to avoid annoying error ""declared and not used""",412,9,180000,55,1392257388,https://stackoverflow.com/questions/21743841/how-to-avoid-annoying-error-declared-and-not-used
How to dump goroutine stacktraces?,130,10,127000,37,1380543468,https://stackoverflow.com/questions/19094099/how-to-dump-goroutine-stacktraces
is there a way to create an instance of a struct from a string?,69,3,41000,12,1397308638,https://stackoverflow.com/questions/23030884/is-there-a-way-to-create-an-instance-of-a-struct-from-a-string
json.Unmarshal returning blank structure,26,1,18000,6,1422585774,https://stackoverflow.com/questions/28228393/json-unmarshal-returning-blank-structure
What should be the values of GOPATH and GOROOT?,428,25,537000,131,1320168772,https://stackoverflow.com/questions/7970390/what-should-be-the-values-of-gopath-and-goroot
