Title,Votes,Answers,Views,Views_per_day,Link 
What is a concise way to create a 2D slice in Go?,184,4,163000,71,https://stackoverflow.com/questions/39804861/what-is-a-concise-way-to-create-a-2d-slice-in-go
What could happen if I don't close response.Body?,147,5,83000,31,https://stackoverflow.com/questions/33238518/what-could-happen-if-i-dont-close-response-body
range over interface{} which stores a slice,135,5,113000,30,https://stackoverflow.com/questions/14025833/range-over-interface-which-stores-a-slice
How can I pass a slice as a variadic input?,123,3,65000,20,https://stackoverflow.com/questions/23723955/how-can-i-pass-a-slice-as-a-variadic-input
How to stop http.ListenAndServe(),122,10,107000,46,https://stackoverflow.com/questions/39320025/how-to-stop-http-listenandserve
Go-compiled binary won't run in an alpine docker container on Ubuntu host,101,6,53000,21,https://stackoverflow.com/questions/36279253/go-compiled-binary-wont-run-in-an-alpine-docker-container-on-ubuntu-host
POST data using the Content-Type multipart/form-data,101,7,146000,43,https://stackoverflow.com/questions/20205796/post-data-using-the-content-type-multipart-form-data
"What is the meaning of ""dot parenthesis"" syntax? [duplicate]",95,1,18000,5,https://stackoverflow.com/questions/24492868/what-is-the-meaning-of-dot-parenthesis-syntax
is it possible to call overridden method from parent struct in Golang?,76,6,62000,18,https://stackoverflow.com/questions/21251242/is-it-possible-to-call-overridden-method-from-parent-struct-in-golang
Conversion of time.Duration type microseconds value to milliseconds,72,3,152000,69,https://stackoverflow.com/questions/41503758/conversion-of-time-duration-type-microseconds-value-to-milliseconds
Organize local code in packages using Go modules,60,2,54000,39,https://stackoverflow.com/questions/55442878/organize-local-code-in-packages-using-go-modules
Golang Dependency Management Best Practice,40,4,16000,5,https://stackoverflow.com/questions/30300279/golang-dependency-management-best-practice
Go template name,40,3,9000,4,https://stackoverflow.com/questions/41176355/go-template-name
Can I create shared test utilities?,38,2,17000,6,https://stackoverflow.com/questions/31794141/can-i-create-shared-test-utilities
How to access unexported struct fields,27,4,25000,11,https://stackoverflow.com/questions/42664837/how-to-access-unexported-struct-fields
Assign struct with another struct,26,4,42000,15,https://stackoverflow.com/questions/31981592/assign-struct-with-another-struct
Fill os.Stdin for function that reads from it,17,4,7000,3,https://stackoverflow.com/questions/46365221/fill-os-stdin-for-function-that-reads-from-it
Goroutine does not execute if time.Sleep included,12,1,3000,1,https://stackoverflow.com/questions/28307783/goroutine-does-not-execute-if-time-sleep-included
How to assign or return generic T that is constrained by union?,10,2,5000,15,https://stackoverflow.com/questions/71047848/how-to-assign-or-return-generic-t-that-is-constrained-by-union
"""Operator does not exist: integer =?"" when using Postgres",9,1,8000,2,https://stackoverflow.com/questions/29887094/operator-does-not-exist-integer-when-using-postgres
Why struct fields are showing empty?,4,1,387,0,https://stackoverflow.com/questions/32674913/why-struct-fields-are-showing-empty
Is it possible to partially decode and update JSON? (go),3,2,3000,1,https://stackoverflow.com/questions/29111777/is-it-possible-to-partially-decode-and-update-json-go
Can I construct a slice of a generic type with different type parameters?,3,2,4000,12,https://stackoverflow.com/questions/71247543/can-i-construct-a-slice-of-a-generic-type-with-different-type-parameters
Splitting client/server code,1,1,2000,0,https://stackoverflow.com/questions/38875016/splitting-client-server-code
What is the idiomatic Go equivalent of C's ternary operator?,519,14,380000,113,https://stackoverflow.com/questions/19979178/what-is-the-idiomatic-go-equivalent-of-cs-ternary-operator
Convert string to integer type in Go?,400,5,466000,105,https://stackoverflow.com/questions/4278430/convert-string-to-integer-type-in-go
