Title,Votes,Answers,Views,Views_per_day,Link 
Cannot borrow as mutable because it is also borrowed as immutable,77,3,72000,38,https://stackoverflow.com/questions/47618823/cannot-borrow-as-mutable-because-it-is-also-borrowed-as-immutable
Temporarily move out of borrowed content,13,3,3000,1,https://stackoverflow.com/questions/29570781/temporarily-move-out-of-borrowed-content
"Deriving a trait results in unexpected compiler error, but the manual implementation works",18,2,2000,0,https://stackoverflow.com/questions/39415052/deriving-a-trait-results-in-unexpected-compiler-error-but-the-manual-implementa
How to convert a String into a &'static str,169,4,156000,49,https://stackoverflow.com/questions/23975391/how-to-convert-a-string-into-a-static-str
How do I implement Copy and Clone for a type that contains a String (or any type that doesn't implement Copy)?,88,2,45000,18,https://stackoverflow.com/questions/38215753/how-do-i-implement-copy-and-clone-for-a-type-that-contains-a-string-or-any-type
Are polymorphic variables allowed?,23,3,2000,0,https://stackoverflow.com/questions/28219519/are-polymorphic-variables-allowed
Does println! borrow or own the variable?,82,1,8000,2,https://stackoverflow.com/questions/30450399/does-println-borrow-or-own-the-variable
How do I collect into an array?,64,11,67000,22,https://stackoverflow.com/questions/26757355/how-do-i-collect-into-an-array
What's the de-facto way of reading and writing files in Rust 1.x?,263,3,135000,49,https://stackoverflow.com/questions/31192956/whats-the-de-facto-way-of-reading-and-writing-files-in-rust-1-x
How to test for equality between trait objects?,21,3,8000,2,https://stackoverflow.com/questions/25339603/how-to-test-for-equality-between-trait-objects
How do I use integer number literals when using generic types?,17,2,4000,1,https://stackoverflow.com/questions/28565440/how-do-i-use-integer-number-literals-when-using-generic-types
Passing mutable self reference to method of owned object,12,2,5000,1,https://stackoverflow.com/questions/30681468/passing-mutable-self-reference-to-method-of-owned-object
Why does Future::select choose the future with a longer sleep period first?,9,1,4000,2,https://stackoverflow.com/questions/48735952/why-does-futureselect-choose-the-future-with-a-longer-sleep-period-first
Vector of objects belonging to a trait,81,3,35000,11,https://stackoverflow.com/questions/25818082/vector-of-objects-belonging-to-a-trait
Can I do type introspection with trait objects and then downcast it?,14,2,5000,1,https://stackoverflow.com/questions/27892375/can-i-do-type-introspection-with-trait-objects-and-then-downcast-it
How do you define custom `Error` types in Rust?,78,3,43000,20,https://stackoverflow.com/questions/42584368/how-do-you-define-custom-error-types-in-rust
"Initialize a large, fixed-size array with non-Copy types",46,8,12000,4,https://stackoverflow.com/questions/28656387/initialize-a-large-fixed-size-array-with-non-copy-types
What's an idiomatic way to print an iterator separated by spaces in Rust?,35,4,15000,6,https://stackoverflow.com/questions/36941851/whats-an-idiomatic-way-to-print-an-iterator-separated-by-spaces-in-rust
Mutably borrow one struct field while borrowing another in a closure,21,2,5000,2,https://stackoverflow.com/questions/36379242/mutably-borrow-one-struct-field-while-borrowing-another-in-a-closure
Double mutable borrow error in a loop happens even with NLL on,11,2,2000,1,https://stackoverflow.com/questions/50519147/double-mutable-borrow-error-in-a-loop-happens-even-with-nll-on
How to match a String against string literals?,375,8,142000,46,https://stackoverflow.com/questions/25383488/how-to-match-a-string-against-string-literals
Split a module across several files,137,7,62000,19,https://stackoverflow.com/questions/22596920/split-a-module-across-several-files
"What makes something a ""trait object""?",83,4,16000,5,https://stackoverflow.com/questions/27567849/what-makes-something-a-trait-object
How do I pass disjoint slices from a vector to different threads?,9,1,4000,1,https://stackoverflow.com/questions/33818141/how-do-i-pass-disjoint-slices-from-a-vector-to-different-threads
How do I write the lifetimes for references in a type constraint when one of them is a local reference?,6,1,597,0,https://stackoverflow.com/questions/44343166/how-do-i-write-the-lifetimes-for-references-in-a-type-constraint-when-one-of-the
How do I convert between numeric types safely and idiomatically?,142,1,119000,41,https://stackoverflow.com/questions/28273169/how-do-i-convert-between-numeric-types-safely-and-idiomatically
Need holistic explanation about Rust's cell and reference counted types,92,2,10000,5,https://stackoverflow.com/questions/45674479/need-holistic-explanation-about-rusts-cell-and-reference-counted-types
How do I implement the Add trait for a reference to a struct?,83,2,26000,8,https://stackoverflow.com/questions/28005134/how-do-i-implement-the-add-trait-for-a-reference-to-a-struct
Is it possible to access struct fields from within a trait?,42,3,24000,8,https://stackoverflow.com/questions/28219730/is-it-possible-to-access-struct-fields-from-within-a-trait
How do I return an instance of a trait from a method?,37,4,22000,7,https://stackoverflow.com/questions/30661046/how-do-i-return-an-instance-of-a-trait-from-a-method
What is the purpose of async/await in Rust?,24,3,11000,7,https://stackoverflow.com/questions/52835725/what-is-the-purpose-of-async-await-in-rust
Step by step instruction to install Rust and Cargo for mingw with Msys2?,25,3,31000,16,https://stackoverflow.com/questions/47379214/step-by-step-instruction-to-install-rust-and-cargo-for-mingw-with-msys2
Compile-time generic type size check,24,2,4000,1,https://stackoverflow.com/questions/30330519/compile-time-generic-type-size-check
Why can comparing two seemingly equal pointers with == return false?,24,1,4000,2,https://stackoverflow.com/questions/47489449/why-can-comparing-two-seemingly-equal-pointers-with-return-false
Using generic iterators instead of specific list types,24,4,10000,3,https://stackoverflow.com/questions/30630810/using-generic-iterators-instead-of-specific-list-types
Is there a way to use the cfg(feature) check on multiple statements?,24,2,6000,2,https://stackoverflow.com/questions/43070430/is-there-a-way-to-use-the-cfgfeature-check-on-multiple-statements
Why can the lifetimes not be elided in a struct definition?,22,2,4000,1,https://stackoverflow.com/questions/27785671/why-can-the-lifetimes-not-be-elided-in-a-struct-definition
How can I include private modules when generating documentation via Cargo?,20,4,4000,1,https://stackoverflow.com/questions/29378113/how-can-i-include-private-modules-when-generating-documentation-via-cargo
Split a string keeping the separators,20,3,5000,1,https://stackoverflow.com/questions/32257273/split-a-string-keeping-the-separators
Vec::dedup does not work — how do I deduplicate a vector of strings?,20,2,21000,11,https://stackoverflow.com/questions/47636618/vecdedup-does-not-work-how-do-i-deduplicate-a-vector-of-strings
Can I install a library using Cargo without a Cargo.toml?,20,1,9000,3,https://stackoverflow.com/questions/36813893/can-i-install-a-library-using-cargo-without-a-cargo-toml
How can I read non-blocking from stdin?,19,3,13000,4,https://stackoverflow.com/questions/30012995/how-can-i-read-non-blocking-from-stdin
How can you easily borrow a Vec<Vec<T>> as a &[&[T]]?,18,2,3000,1,https://stackoverflow.com/questions/50056778/how-can-you-easily-borrow-a-vecvect-as-a-t
How do I print a Rust floating-point number with all available precision?,18,5,18000,6,https://stackoverflow.com/questions/26576889/how-do-i-print-a-rust-floating-point-number-with-all-available-precision
"Is it possible to add your own derivable traits, or are these fixed by the compiler?",18,2,5000,1,https://stackoverflow.com/questions/32626316/is-it-possible-to-add-your-own-derivable-traits-or-are-these-fixed-by-the-compi
"Why is ""one type is more general than the other"" in an Option containing a closure?",18,1,3000,3,https://stackoverflow.com/questions/63916821/why-is-one-type-is-more-general-than-the-other-in-an-option-containing-a-closu
Why can a trait not construct itself?,18,2,5000,2,https://stackoverflow.com/questions/38159771/why-can-a-trait-not-construct-itself
How to get a feature requirement tag in the documentation generated by `cargo doc`?,17,2,2000,2,https://stackoverflow.com/questions/61417452/how-to-get-a-feature-requirement-tag-in-the-documentation-generated-by-cargo-do
Is there a shortcut to unwrap or continue in a loop?,17,6,11000,6,https://stackoverflow.com/questions/49785136/is-there-a-shortcut-to-unwrap-or-continue-in-a-loop
Is it possible to store state within Rust's procedural macros?,17,1,3000,1,https://stackoverflow.com/questions/52910783/is-it-possible-to-store-state-within-rusts-procedural-macros
How to use the Fn traits (closures) in Rust function signatures?,17,2,14000,4,https://stackoverflow.com/questions/26577070/how-to-use-the-fn-traits-closures-in-rust-function-signatures
Borrow checker doesn't realize that `clear` drops reference to local variable,17,6,974,0,https://stackoverflow.com/questions/39946430/borrow-checker-doesnt-realize-that-clear-drops-reference-to-local-variable
Is there a way to use custom patterns such as a regex or functions in a match?,17,1,10000,4,https://stackoverflow.com/questions/43211180/is-there-a-way-to-use-custom-patterns-such-as-a-regex-or-functions-in-a-match
Is casting between integers expensive?,17,1,3000,1,https://stackoverflow.com/questions/44685633/is-casting-between-integers-expensive
Iterating over a vector of mutable references to trait objects,17,2,17000,6,https://stackoverflow.com/questions/36991399/iterating-over-a-vector-of-mutable-references-to-trait-objects
How to write a custom attribute that injects code into a function,16,1,6000,1,https://stackoverflow.com/questions/25561137/how-to-write-a-custom-attribute-that-injects-code-into-a-function
How to get subslices?,16,1,12000,4,https://stackoverflow.com/questions/30272673/how-to-get-subslices
How can I flatten nested Results?,16,2,9000,7,https://stackoverflow.com/questions/59028327/how-can-i-flatten-nested-results
"Why are const atomic variables not updated, but static atomic variables are?",16,1,3000,1,https://stackoverflow.com/questions/50631189/why-are-const-atomic-variables-not-updated-but-static-atomic-variables-are
Is it more conventional to pass-by-value or pass-by-reference when the method needs ownership of the value?,16,1,1000,1,https://stackoverflow.com/questions/61898884/is-it-more-conventional-to-pass-by-value-or-pass-by-reference-when-the-method-ne
Why does the usage of by_ref().take() differ between the Iterator and Read traits?,16,2,1000,0,https://stackoverflow.com/questions/52515361/why-does-the-usage-of-by-ref-take-differ-between-the-iterator-and-read-trait
Populating a static/const with an environment variable at runtime in Rust,15,1,5000,2,https://stackoverflow.com/questions/37405835/populating-a-static-const-with-an-environment-variable-at-runtime-in-rust
Differences in Type inference for closures and functions in rust,15,1,3000,0,https://stackoverflow.com/questions/24977365/differences-in-type-inference-for-closures-and-functions-in-rust
How do I define trait bounds on an associated type?,15,2,10000,6,https://stackoverflow.com/questions/54258253/how-do-i-define-trait-bounds-on-an-associated-type
Conflicting trait implementations even though associated types differ,14,2,1000,0,https://stackoverflow.com/questions/40392524/conflicting-trait-implementations-even-though-associated-types-differ
"How do I create a BinaryHeap that pops the smallest value, not the largest?",13,2,3000,2,https://stackoverflow.com/questions/54489368/how-do-i-create-a-binaryheap-that-pops-the-smallest-value-not-the-largest
What is the difference between println's format styles?,13,2,2000,0,https://stackoverflow.com/questions/40100077/what-is-the-difference-between-printlns-format-styles
"Why does ""move"" in Rust not actually move?",13,1,2000,1,https://stackoverflow.com/questions/53465843/why-does-move-in-rust-not-actually-move
How can I overload the assignment operation in Rust?,13,1,4000,1,https://stackoverflow.com/questions/37377250/how-can-i-overload-the-assignment-operation-in-rust
"In Rust, can you own a string literal?",12,1,3000,2,https://stackoverflow.com/questions/57225055/in-rust-can-you-own-a-string-literal
What does an @ symbol mean in a Rust declarative macro?,12,1,2000,1,https://stackoverflow.com/questions/54406388/what-does-an-symbol-mean-in-a-rust-declarative-macro
Unable to create a polymorphic type because the trait cannot be made into an object,12,2,9000,3,https://stackoverflow.com/questions/39412626/unable-to-create-a-polymorphic-type-because-the-trait-cannot-be-made-into-an-obj
What is a cell in the context of an interpreter or compiler?,12,1,5000,1,https://stackoverflow.com/questions/23757143/what-is-a-cell-in-the-context-of-an-interpreter-or-compiler
How can I get an array or a slice from a raw pointer?,12,1,17000,5,https://stackoverflow.com/questions/27150652/how-can-i-get-an-array-or-a-slice-from-a-raw-pointer
What is the {integer} or {float} in a compiler error message?,12,2,3000,1,https://stackoverflow.com/questions/41996784/what-is-the-integer-or-float-in-a-compiler-error-message
How can I create a stack-allocated vector-like container?,11,2,6000,2,https://stackoverflow.com/questions/29239586/how-can-i-create-a-stack-allocated-vector-like-container
Why would you ever use the same lifetimes for references in a struct?,11,1,291,0,https://stackoverflow.com/questions/44709632/why-would-you-ever-use-the-same-lifetimes-for-references-in-a-struct
How can I obtain an &A reference from a Rc<RefCell<A>>?,11,1,3000,1,https://stackoverflow.com/questions/52124007/how-can-i-obtain-an-a-reference-from-a-rcrefcella
Why does conditional assignment of a matched mutable reference cause borrow errors?,11,1,440,0,https://stackoverflow.com/questions/64639030/why-does-conditional-assignment-of-a-matched-mutable-reference-cause-borrow-erro
Why is the Copy trait needed for default (struct valued) array initialization?,11,2,9000,3,https://stackoverflow.com/questions/27876588/why-is-the-copy-trait-needed-for-default-struct-valued-array-initialization
How do I match a String in a struct with a constant value?,11,2,2000,0,https://stackoverflow.com/questions/29048833/how-do-i-match-a-string-in-a-struct-with-a-constant-value
Why is it possible to implement Read on an immutable reference to File?,15,1,1000,0,https://stackoverflow.com/questions/31503488/why-is-it-possible-to-implement-read-on-an-immutable-reference-to-file
How does the mechanism behind the creation of boxed traits work?,14,2,803,0,https://stackoverflow.com/questions/52288980/how-does-the-mechanism-behind-the-creation-of-boxed-traits-work
"Iterator returning items by reference, lifetime issue",12,1,3000,0,https://stackoverflow.com/questions/24574741/iterator-returning-items-by-reference-lifetime-issue
Borrow two mutable values from the same HashMap,11,2,4000,2,https://stackoverflow.com/questions/47773849/borrow-two-mutable-values-from-the-same-hashmap
"""borrowed value does not live long enough"" seems to blame the wrong thing",6,2,2000,0,https://stackoverflow.com/questions/37264396/borrowed-value-does-not-live-long-enough-seems-to-blame-the-wrong-thing
error [E0716]: temporary value dropped while borrowed (rust),1,2,1000,3,https://stackoverflow.com/questions/71626083/error-e0716-temporary-value-dropped-while-borrowed-rust
"In Rust, is there a way to iterate through the values of an enum?",131,8,65000,19,https://stackoverflow.com/questions/21371534/in-rust-is-there-a-way-to-iterate-through-the-values-of-an-enum
"Is it possible for one struct to extend an existing struct, keeping all the fields?",104,5,60000,22,https://stackoverflow.com/questions/32552593/is-it-possible-for-one-struct-to-extend-an-existing-struct-keeping-all-the-fiel
How do I convert a Vec<String> to Vec<&str>?,82,6,27000,10,https://stackoverflow.com/questions/33216514/how-do-i-convert-a-vecstring-to-vecstr
Is it possible to make a recursive closure in Rust?,81,4,23000,6,https://stackoverflow.com/questions/16946888/is-it-possible-to-make-a-recursive-closure-in-rust
How can I create a function with a variable number of arguments?,80,3,40000,13,https://stackoverflow.com/questions/28951503/how-can-i-create-a-function-with-a-variable-number-of-arguments
Is it possible to conditionally enable an attribute like `derive`?,73,1,12000,5,https://stackoverflow.com/questions/42551113/is-it-possible-to-conditionally-enable-an-attribute-like-derive
Is there a way to combine multiple traits in order to define a new trait? [duplicate],47,1,17000,5,https://stackoverflow.com/questions/26983355/is-there-a-way-to-combine-multiple-traits-in-order-to-define-a-new-trait
How can I convert a buffer of a slice of bytes (&[u8]) to an integer?,42,4,58000,20,https://stackoverflow.com/questions/29307474/how-can-i-convert-a-buffer-of-a-slice-of-bytes-u8-to-an-integer
Why does passing a closure to function which accepts a function pointer not work?,38,2,17000,10,https://stackoverflow.com/questions/52696907/why-does-passing-a-closure-to-function-which-accepts-a-function-pointer-not-work
Is there any trait that specifies numeric functionality?,33,1,25000,10,https://stackoverflow.com/questions/37296351/is-there-any-trait-that-specifies-numeric-functionality
How can this instance seemingly outlive its own parameter lifetime?,32,2,4000,1,https://stackoverflow.com/questions/42637911/how-can-this-instance-seemingly-outlive-its-own-parameter-lifetime
"In Rust, what's the difference between ""shadowing"" and ""mutability""?",31,1,4000,2,https://stackoverflow.com/questions/53235334/in-rust-whats-the-difference-between-shadowing-and-mutability
Conflicting implementations of trait in Rust,22,2,10000,4,https://stackoverflow.com/questions/39159226/conflicting-implementations-of-trait-in-rust
How can I have a collection of objects that differ by their associated type?,15,3,5000,1,https://stackoverflow.com/questions/28932450/how-can-i-have-a-collection-of-objects-that-differ-by-their-associated-type
How to convert a slice into an array reference?,12,3,9000,4,https://stackoverflow.com/questions/48129565/how-to-convert-a-slice-into-an-array-reference
What is the syntax: `instance.method::<SomeThing>()`?,12,1,3000,1,https://stackoverflow.com/questions/52360464/what-is-the-syntax-instance-methodsomething
"""borrowed value does not live long enough"" when using the builder pattern",11,1,4000,1,https://stackoverflow.com/questions/28469667/borrowed-value-does-not-live-long-enough-when-using-the-builder-pattern
Weird behaviour when using read_line in a loop,11,1,3000,1,https://stackoverflow.com/questions/45232943/weird-behaviour-when-using-read-line-in-a-loop
"Why do I get ""type annotations needed"" when using Iterator::collect?",7,1,4000,1,https://stackoverflow.com/questions/30972047/why-do-i-get-type-annotations-needed-when-using-iteratorcollect
How can I update a value in a mutable HashMap?,149,4,77000,27,https://stackoverflow.com/questions/30414424/how-can-i-update-a-value-in-a-mutable-hashmap
How do I invoke a system command and capture its output?,148,3,62000,18,https://stackoverflow.com/questions/21011330/how-do-i-invoke-a-system-command-and-capture-its-output
How do you pass a Rust function as a parameter?,144,2,94000,37,https://stackoverflow.com/questions/36390665/how-do-you-pass-a-rust-function-as-a-parameter
Why is capitalizing the first letter of a string so convoluted in Rust?,124,9,28000,11,https://stackoverflow.com/questions/38406793/why-is-capitalizing-the-first-letter-of-a-string-so-convoluted-in-rust
What is a crate attribute and where do I add it?,111,1,38000,12,https://stackoverflow.com/questions/27454761/what-is-a-crate-attribute-and-where-do-i-add-it
How to write a Rust function that takes an iterator?,100,3,40000,15,https://stackoverflow.com/questions/34969902/how-to-write-a-rust-function-that-takes-an-iterator
Is it possible to make a type only movable and not copyable?,97,2,24000,7,https://stackoverflow.com/questions/24253344/is-it-possible-to-make-a-type-only-movable-and-not-copyable
Are semicolons optional in Rust?,78,2,20000,6,https://stackoverflow.com/questions/26665471/are-semicolons-optional-in-rust
How does Rust implement reflection?,75,1,27000,10,https://stackoverflow.com/questions/36416773/how-does-rust-implement-reflection
"Compare enums only by variant, not value",73,1,19000,7,https://stackoverflow.com/questions/32554285/compare-enums-only-by-variant-not-value
How do I specify lifetime parameters in an associated type?,52,3,16000,6,https://stackoverflow.com/questions/33734640/how-do-i-specify-lifetime-parameters-in-an-associated-type
